status,task,seed,cv,n_train,n_test,n_features,stacking_test_rmse,raw_ridge_test_rmse,selected_base_alpha_json,base_cv_rmse_json,selected_meta_alpha,meta_cv_rmse,operator_names_json,fit_time_s,wall_s,folded_test_rmse
ok,N_wOutlier,2,5,1220,1207,1154,0.33865521634880247,0.33994465622842196,"[0.00528463961404998, 0.0030068891415587357, 0.0017108796379579027, 0.0001020304170081276, 5.8053940366111546e-05, 1.8794716712855368e-05, 0.00528463961404998, 0.00528463961404998, 0.0009734675931755807]","[0.40858209657897476, 0.4028067463864371, 0.3988003763717725, 0.41089762417958714, 0.4082846327249919, 0.4687073307464555, 0.3910359368802491, 0.3904067646478683, 0.4583366361445398]",71.70366224491534,0.4019842342488202,"[""identity"", ""sg_smooth_w11_p2"", ""sg_smooth_w21_p3"", ""sg_d1_w11_p2"", ""sg_d1_w21_p3"", ""sg_d2_w11_p2"", ""detrend_d1"", ""detrend_d2"", ""fd_d1""]",13.68106264599919,13.88873967499967,0.3422027746817642
ok,N_woOutlier,0,5,1205,1207,1154,0.26418058334080163,0.27421158687562813,"[3.4553447657554274e-05, 1.966044880121798e-05, 6.3649868266683305e-06, 3.6215922320209077e-06, 3.6215922320209077e-06, 3.6215922320209077e-06, 3.4553447657554274e-05, 3.4553447657554274e-05, 6.3649868266683305e-06]","[0.28808835467682614, 0.28380994119772485, 0.28424149236049556, 0.2904985723443567, 0.29122568565166057, 0.3464495297687038, 0.28861135337877925, 0.288261776279538, 0.30360413743233894]",1.8751452308299925e-05,0.2813469505062426,"[""identity"", ""sg_smooth_w11_p2"", ""sg_smooth_w21_p3"", ""sg_d1_w11_p2"", ""sg_d1_w21_p3"", ""sg_d2_w11_p2"", ""detrend_d1"", ""detrend_d2"", ""fd_d1""]",12.53863033000016,12.730685286001972,0.2667756676053198
ok,N_woOutlier,1,5,1205,1207,1154,0.2633815922304483,0.27460653966690984,"[6.07280513835156e-05, 1.966044880121798e-05, 6.3649868266683305e-06, 3.6215922320209077e-06, 3.6215922320209077e-06, 3.6215922320209077e-06, 6.07280513835156e-05, 6.07280513835156e-05, 6.3649868266683305e-06]","[0.28987203819282753, 0.2843723363647987, 0.28354705959712573, 0.29061465033426426, 0.289879357907749, 0.3460075769829173, 0.29096050771886817, 0.29053694687309684, 0.30577896911478103]",0.00299589488901418,0.2817660201229367,"[""identity"", ""sg_smooth_w11_p2"", ""sg_smooth_w21_p3"", ""sg_d1_w11_p2"", ""sg_d1_w21_p3"", ""sg_d2_w11_p2"", ""detrend_d1"", ""detrend_d2"", ""fd_d1""]",12.621710088998952,12.81233196300309,0.2643976916593918
ok,N_woOutlier,2,5,1205,1207,1154,0.2651350794590896,0.27460653966690984,"[6.07280513835156e-05, 1.118653197493036e-05, 3.6215922320209077e-06, 3.6215922320209077e-06, 3.6215922320209077e-06, 3.6215922320209077e-06, 3.4553447657554274e-05, 3.4553447657554274e-05, 6.3649868266683305e-06]","[0.28567535187810955, 0.27950966619109874, 0.28208695163627634, 0.28792630620828413, 0.288087431184098, 0.34309047970929496, 0.2856695758144708, 0.2854373830367932, 0.3039429511894983]",0.0029952149300697724,0.28012081742398726,"[""identity"", ""sg_smooth_w11_p2"", ""sg_smooth_w21_p3"", ""sg_d1_w11_p2"", ""sg_d1_w21_p3"", ""sg_d2_w11_p2"", ""detrend_d1"", ""detrend_d2"", ""fd_d1""]",13.08544357899882,13.263190944999224,0.2665379989068704
ok,Rd25_CBtestSite,0,5,324,146,2151,0.23598523556123432,0.2319746825073119,"[0.00016841867693753845, 5.4524831600280115e-05, 9.582797085591067e-05, 1.8501484569499694e-06, 1.8501484569499694e-06, 1.8501484569499694e-06, 0.00016841867693753845, 9.582797085591067e-05, 1.8501484569499694e-06]","[0.170266877474475, 0.17300627353037645, 0.17478789537415568, 0.17826776804186736, 0.17664852955472254, 0.21948262844676197, 0.16921623395171853, 0.17085747837060022, 0.18311078852735005]",0.01616250517558769,0.17093038652908685,"[""identity"", ""sg_smooth_w11_p2"", ""sg_smooth_w21_p3"", ""sg_d1_w11_p2"", ""sg_d1_w21_p3"", ""sg_d2_w11_p2"", ""detrend_d1"", ""detrend_d2"", ""fd_d1""]",1.8634541270002956,1.9626357769993774,0.2273666439792465
ok,Rd25_CBtestSite,1,5,324,146,2151,0.23474349042221143,0.2290803004719949,"[0.0002959976141417101, 0.00016841867693753845, 0.00016841867693753845, 1.8501484569499694e-06, 1.8501484569499694e-06, 1.8501484569499694e-06, 0.0002959976141417101, 0.00016841867693753845, 3.251655570648272e-06]","[0.174529106828351, 0.17707312734755162, 0.17880184648381378, 0.17939957122225644, 0.17801051544826207, 0.21996272431456795, 0.17337047969976954, 0.17551122860512727, 0.1854833494816848]",1.469695998539603,0.1761060510526481,"[""identity"", ""sg_smooth_w11_p2"", ""sg_smooth_w21_p3"", ""sg_d1_w11_p2"", ""sg_d1_w21_p3"", ""sg_d2_w11_p2"", ""detrend_d1"", ""detrend_d2"", ""fd_d1""]",1.926217670999904,2.009683494001365,0.2253153040821632
ok,Rd25_CBtestSite,2,5,324,146,2151,0.22773129175134812,0.2288660092167947,"[0.0005202189517857249, 0.0002959976141417101, 0.00016841867693753845, 1.8501484569499694e-06, 1.8501484569499694e-06, 1.8501484569499694e-06, 0.0005202189517857249, 0.0005202189517857249, 1.8501484569499694e-06]","[0.1775326147214212, 0.17878848164642527, 0.17878663429846176, 0.18760564442839595, 0.1851933277649419, 0.2252736337088745, 0.17611551921209628, 0.1789621263581027, 0.19484253214147929]",0.4441628658017222,0.1796889103093659,"[""identity"", ""sg_smooth_w11_p2"", ""sg_smooth_w21_p3"", ""sg_d1_w11_p2"", ""sg_d1_w21_p3"", ""sg_d2_w11_p2"", ""detrend_d1"", ""detrend_d2"", ""fd_d1""]",2.0274921739983256,2.119610902002023,0.2256251081219457
ok,Rd25_GTtestSite,0,5,297,173,2151,0.1926298527650638,0.19089075451091858,"[0.00031784459519952136, 0.0005586152531158289, 0.00031784459519952136, 1.1304080432665599e-06, 1.1304080432665599e-06, 1.1304080432665599e-06, 0.0005586152531158289, 0.00018084931647328274, 1.9867041464622957e-06]","[0.19974336357394568, 0.20071449284020576, 0.20017713504570267, 0.20256843338165886, 0.20198061816745422, 0.23286663147790204, 0.19844705675631436, 0.20128072128736396, 0.21105514589680285]",0.004472358810580302,0.1988950077786838,"[""identity"", ""sg_smooth_w11_p2"", ""sg_smooth_w21_p3"", ""sg_d1_w11_p2"", ""sg_d1_w21_p3"", ""sg_d2_w11_p2"", ""detrend_d1"", ""detrend_d2"", ""fd_d1""]",1.7092667690012604,1.808373080999445,0.1952313169027458
ok,Rd25_GTtestSite,1,5,297,173,2151,0.23559149411223476,0.19089075451091858,"[0.00031784459519952136, 0.0009817722425570178, 0.0005586152531158289, 1.1304080432665599e-06, 1.1304080432665599e-06, 1.1304080432665599e-06, 0.0005586152531158289, 0.00018084931647328274, 6.136618380895316e-06]","[0.20654392852444808, 0.2076756542315695, 0.20637104876002793, 0.2064743107988753, 0.20829255233888863, 0.2416633031336691, 0.20499761620296925, 0.20572469227372658, 0.22004205361352466]",0.0002523749852130358,0.20485197565862578,"[""identity"", ""sg_smooth_w11_p2"", ""sg_smooth_w21_p3"", ""sg_d1_w11_p2"", ""sg_d1_w21_p3"", ""sg_d2_w11_p2"", ""detrend_d1"", ""detrend_d2"", ""fd_d1""]",1.7468072769988794,1.8522493700002087,0.1952313169027458
ok,Rd25_GTtestSite,2,5,297,173,2151,0.21493564780080207,0.1924286160589184,"[0.00018084931647328274, 0.00031784459519952136, 0.00018084931647328274, 1.1304080432665599e-06, 1.1304080432665599e-06, 1.1304080432665599e-06, 0.00010290083821725119, 0.00010290083821725119, 3.49165364585055e-06]","[0.19947780612524602, 0.20227687818483625, 0.20108087366016175, 0.2008246175018847, 0.20148941832584627, 0.23354307422237075, 0.19803369928288572, 0.1997464948334573, 0.2110057062896578]",0.013970047118902531,0.19772551233314506,"[""identity"", ""sg_smooth_w11_p2"", ""sg_smooth_w21_p3"", ""sg_d1_w11_p2"", ""sg_d1_w21_p3"", ""sg_d2_w11_p2"", ""detrend_d1"", ""detrend_d2"", ""fd_d1""]",1.8190071450007963,1.9184156549999898,0.2008525396126024
ok,Rd25_XSBNtestSite,0,5,319,151,2151,0.2448142547922341,0.25908556983162434,"[0.0005667783345141833, 0.0005667783345141833, 0.0005667783345141833, 1.1469267702778076e-06, 1.1469267702778076e-06, 1.1469267702778076e-06, 0.0005667783345141833, 0.0005667783345141833, 3.5426774100012023e-06]","[0.1858843208531449, 0.18777345717654265, 0.1876914791045124, 0.18883166097166523, 0.1897383091560545, 0.23028373525371762, 0.18895145349881282, 0.19046109003311704, 0.19801252032602842]",4.771344132634835,0.1882481586289358,"[""identity"", ""sg_smooth_w11_p2"", ""sg_smooth_w21_p3"", ""sg_d1_w11_p2"", ""sg_d1_w21_p3"", ""sg_d2_w11_p2"", ""detrend_d1"", ""detrend_d2"", ""fd_d1""]",1.8310126299984404,1.9413462299999082,0.2590855698340462
ok,Rd25_XSBNtestSite,1,5,319,151,2151,0.246759685445088,0.2629508341894815,"[0.00099611894484618, 0.00099611894484618, 0.00099611894484618, 2.015735984693639e-06, 2.015735984693639e-06, 1.1469267702778076e-06, 0.0005667783345141833, 0.0005667783345141833, 3.5426774100012023e-06]","[0.19157532368109323, 0.19265995729692892, 0.19267321783388008, 0.19580018553924394, 0.19659648384457176, 0.22948398455817096, 0.19309479034372837, 0.19378919159985752, 0.2046183140615565]",4.617401734761655,0.19388184525374083,"[""identity"", ""sg_smooth_w11_p2"", ""sg_smooth_w21_p3"", ""sg_d1_w11_p2"", ""sg_d1_w21_p3"", ""sg_d2_w11_p2"", ""detrend_d1"", ""detrend_d2"", ""fd_d1""]",2.0030008260000614,2.159150666997448,0.2629508341907787
ok,Rd25_XSBNtestSite,2,5,319,151,2151,0.2486346169611244,0.2629508341894815,"[0.00099611894484618, 0.00099611894484618, 0.0005667783345141833, 2.015735984693639e-06, 2.015735984693639e-06, 1.1469267702778076e-06, 0.00099611894484618, 0.0005667783345141833, 3.5426774100012023e-06]","[0.18786261709262492, 0.18908732572866863, 0.18892605820082478, 0.19063189782954687, 0.19211995677903806, 0.22930121369133252, 0.18903697763068256, 0.18943928637093613, 0.19759398500517575]",2.6229648982783247,0.18853894388959574,"[""identity"", ""sg_smooth_w11_p2"", ""sg_smooth_w21_p3"", ""sg_d1_w11_p2"", ""sg_d1_w21_p3"", ""sg_d2_w11_p2"", ""detrend_d1"", ""detrend_d2"", ""fd_d1""]",2.020875767000689,2.1265793359998497,0.2629508341907787
ok,Rd25_spxy70,0,5,329,141,2151,0.17220507857719666,0.1740889754735782,"[0.0004693268443842132, 0.0004693268443842132, 0.00026704068683680896, 1.669151679234301e-06, 1.669151679234301e-06, 1.669151679234301e-06, 0.0004693268443842132, 0.0004693268443842132, 2.9335518107485036e-06]","[0.2021601336695103, 0.20256186819471855, 0.20149199402155013, 0.2084856391525541, 0.2076440935151176, 0.25642965006817314, 0.2008400277218212, 0.20408409762567442, 0.22513727196606145]",3.1342596708445583,0.2024839338087924,"[""identity"", ""sg_smooth_w11_p2"", ""sg_smooth_w21_p3"", ""sg_d1_w11_p2"", ""sg_d1_w21_p3"", ""sg_d2_w11_p2"", ""detrend_d1"", ""detrend_d2"", ""fd_d1""]",1.9301448270016408,2.0299195799998415,0.1736818207050156
ok,Rd25_spxy70,1,5,329,141,2151,0.17126080525061416,0.1737691714964629,"[0.0008248469155348258, 0.0008248469155348258, 0.0004693268443842132, 1.669151679234301e-06, 1.669151679234301e-06, 1.669151679234301e-06, 0.0008248469155348258, 0.00026704068683680896, 5.1557484759525015e-06]","[0.19628231430165796, 0.1960524627505561, 0.19554584047027762, 0.19984827887900436, 0.20042015137114016, 0.2514330918304314, 0.1954457943585583, 0.19849902015767437, 0.21556544743349634]",3.140885604682371,0.19717838653341196,"[""identity"", ""sg_smooth_w11_p2"", ""sg_smooth_w21_p3"", ""sg_d1_w11_p2"", ""sg_d1_w21_p3"", ""sg_d2_w11_p2"", ""detrend_d1"", ""detrend_d2"", ""fd_d1""]",2.0279401869993308,2.1244695150016923,0.1731805964165486
ok,Rd25_spxy70,2,5,329,141,2151,0.17231791465073829,0.1737691714964629,"[0.0008248469155348258, 0.0008248469155348258, 0.0004693268443842132, 1.669151679234301e-06, 1.669151679234301e-06, 1.669151679234301e-06, 0.0008248469155348258, 0.0004693268443842132, 5.1557484759525015e-06]","[0.1984758317946272, 0.19762731032340275, 0.19626892014649586, 0.2031407681788599, 0.2036249587702569, 0.25321084137288064, 0.19799924470202218, 0.201940864917011, 0.2217300725912709]",3.115096838054001,0.1999095906659219,"[""identity"", ""sg_smooth_w11_p2"", ""sg_smooth_w21_p3"", ""sg_d1_w11_p2"", ""sg_d1_w21_p3"", ""sg_d2_w11_p2"", ""detrend_d1"", ""detrend_d2"", ""fd_d1""]",2.203183117999288,2.3008453990005364,0.177163167358505
ok,Rice_Amylose_313_YbasedSplit,0,5,203,110,1154,1.9994245779715734,2.5066726285894076,"[9.225570207727132e-06, 5.249225852326985e-06, 2.986739185579991e-06, 9.669441304784976e-07, 9.669441304784976e-07, 9.669441304784976e-07, 9.225570207727132e-06, 9.225570207727132e-06, 5.249225852326985e-06]","[2.9979202219226946, 2.792762644291471, 2.5256868150564764, 3.106599929153325, 2.9961224105046123, 3.9679161013617885, 3.006077078514676, 2.999360335227208, 3.929225668882895]",2.667868787480775,2.5288030147255323,"[""identity"", ""sg_smooth_w11_p2"", ""sg_smooth_w21_p3"", ""sg_d1_w11_p2"", ""sg_d1_w21_p3"", ""sg_d2_w11_p2"", ""detrend_d1"", ""detrend_d2"", ""fd_d1""]",0.520693744001619,0.576851900001202,1.974723453318332
ok,Rice_Amylose_313_YbasedSplit,1,5,203,110,1154,2.1367531487767732,2.553223296537801,"[2.8496343459991357e-05, 9.225570207727132e-06, 5.249225852326985e-06, 9.669441304784976e-07, 9.669441304784976e-07, 9.669441304784976e-07, 2.8496343459991357e-05, 2.8496343459991357e-05, 9.225570207727132e-06]","[3.1192112120971953, 2.9087576607900916, 2.7058593733291607, 3.0375244097927174, 2.9511051550950254, 3.8489494950492413, 3.1024377586967646, 3.0801655031062922, 3.8478543884854397]",0.00017610487744291892,2.5609115869106858,"[""identity"", ""sg_smooth_w11_p2"", ""sg_smooth_w21_p3"", ""sg_d1_w11_p2"", ""sg_d1_w21_p3"", ""sg_d2_w11_p2"", ""detrend_d1"", ""detrend_d2"", ""fd_d1""]",0.5415904610017606,0.5977118859991606,1.936250591246078
ok,Rice_Amylose_313_YbasedSplit,2,5,203,110,1154,2.0100848896186445,2.553223296537801,"[2.8496343459991357e-05, 9.225570207727132e-06, 9.225570207727132e-06, 9.669441304784976e-07, 9.669441304784976e-07, 9.669441304784976e-07, 2.8496343459991357e-05, 2.8496343459991357e-05, 9.225570207727132e-06]","[3.0868019217008675, 2.8501184840837537, 2.5985816889430056, 3.04298499060762, 2.9325863496409665, 3.8560399785552946, 3.018672795840741, 2.9878713910218946, 3.7762350954068156]",1.3917567428640918,2.4912562233571314,"[""identity"", ""sg_smooth_w11_p2"", ""sg_smooth_w21_p3"", ""sg_d1_w11_p2"", ""sg_d1_w21_p3"", ""sg_d2_w11_p2"", ""detrend_d1"", ""detrend_d2"", ""fd_d1""]",0.6118487749990891,0.690829560997372,1.968351043558364
ok,TIC_spxy70,0,5,43,19,254,3.845301586982437,4.623936611206108,"[0.4410025731048164, 0.026299732276461166, 0.026299732276461166, 0.0005077683337640111, 0.000288913379289507, 0.000288913379289507, 0.026299732276461166, 0.0812357596312192, 0.026299732276461166]","[6.555214783636002, 5.557589963348254, 5.2559043421360645, 6.695270445341014, 6.26308208501993, 7.043634129481139, 7.456496999276889, 7.798031085715832, 7.362945335604072]",163.3037321079566,5.6497183873633645,"[""identity"", ""sg_smooth_w11_p2"", ""sg_smooth_w21_p3"", ""sg_d1_w11_p2"", ""sg_d1_w21_p3"", ""sg_d2_w11_p2"", ""detrend_d1"", ""detrend_d2"", ""fd_d1""]",0.039188049999211216,0.049062197998864576,3.6501909677101936
ok,TIC_spxy70,1,5,43,19,254,3.7414500876167254,4.623936611206108,"[0.4410025731048164, 0.046222058906717024, 0.046222058906717024, 0.0005077683337640111, 0.00016438784221482462, 0.000288913379289507, 0.0812357596312192, 0.0812357596312192, 0.046222058906717024]","[6.854392743873264, 5.717576072009052, 5.483449075069319, 6.543241396783635, 5.9717496012109645, 7.4160526283334445, 7.630195515043634, 7.668033309865777, 7.51786619469851]",491.10088543310184,6.123498361598129,"[""identity"", ""sg_smooth_w11_p2"", ""sg_smooth_w21_p3"", ""sg_d1_w11_p2"", ""sg_d1_w21_p3"", ""sg_d2_w11_p2"", ""detrend_d1"", ""detrend_d2"", ""fd_d1""]",0.04861404699840932,0.0625409979984397,3.8052271745783264
ok,TIC_spxy70,2,5,43,19,254,3.6824810632209797,4.710187483642924,"[0.7750667078200173, 0.026299732276461166, 0.026299732276461166, 9.3534479900175e-05, 0.00016438784221482462, 0.0008924082415550644, 0.026299732276461166, 0.046222058906717024, 0.026299732276461166]","[6.1610028025701045, 5.703328162076316, 5.356734715214252, 6.250701063823079, 6.3583166524882815, 7.078280631316777, 6.859507839345923, 7.1610544269037675, 6.973508383925972]",1050.4542683184538,6.091644277616629,"[""identity"", ""sg_smooth_w11_p2"", ""sg_smooth_w21_p3"", ""sg_d1_w11_p2"", ""sg_d1_w21_p3"", ""sg_d2_w11_p2"", ""detrend_d1"", ""detrend_d2"", ""fd_d1""]",0.040018336003413424,0.05100913799833506,3.6501909677101936
ok,WUEinst_spxyG70_30_byCultivar_MicroNIR_NeoSpectra,0,5,77,35,276,1.443737770353828,1.5249435711805506,"[5.887282654358809e-05, 3.3497849578264904e-05, 6.170538274514538e-06, 6.170538274514538e-06, 6.170538274514538e-06, 6.467422210322877e-07, 3.3497849578264904e-05, 3.3497849578264904e-05, 1.084478657853244e-05]","[1.8600055766764805, 1.8710081218776213, 1.8834006772000471, 1.7963936012159174, 1.791012986895364, 1.7720328160761813, 1.7894358694987758, 1.765390578236921, 1.7398915946853524]",0.18379565789638344,1.7734325860289288,"[""identity"", ""sg_smooth_w11_p2"", ""sg_smooth_w21_p3"", ""sg_d1_w11_p2"", ""sg_d1_w21_p3"", ""sg_d2_w11_p2"", ""detrend_d1"", ""detrend_d2"", ""fd_d1""]",0.05826268699820503,0.06972712700007833,1.376533829302975
