database_name,dataset,variant,seed,n_train,n_test,n_features,rmsep,r2,n_components,fit_time_s,selected_operators,block_sizes,status,status_details
MANURE21,All_manure_MgO_SPXY_strat_Manure_type,stack-nnls-4base,0,343,147,1003,0.7821089480784608,0.890308673488299,-1,18.291663981974125,"aom_pls:0.518,block_sparse_v1:0.027,moe_preproc_soft:0.458,lazy_v1_pop:0.000",,ok,
BEER,Beer_OriginalExtract_60_YbaseSplit,tabpfn-standalone,0,40,20,576,0.207714642400726,0.9927566178561282,-1,212.0600094399997,,,ok,
BEER,Beer_OriginalExtract_60_YbaseSplit,aom-ridge-standalone,0,40,20,576,0.4314911351590606,0.9687427382892265,-1,18.92091517098015,,,ok,
BEER,Beer_OriginalExtract_60_YbaseSplit,hetero-ridge-stack,0,40,20,576,0.24474050669057598,0.9899441477591598,-1,682.7883518210147,"aom_pls:+0.011,moe_preproc_soft:+0.397,moe_view_soft:+0.255,lazy_v2_aom:+0.405,aom_ridge:-0.177,tabpfn:+0.132",,ok,
BEER,Beer_OriginalExtract_60_YbaseSplit,hetero-nnls-stack,0,40,20,576,0.49099897730587083,0.959526724924582,-1,614.9227731110295,"aom_pls:+0.000,moe_preproc_soft:+0.000,moe_view_soft:+0.125,lazy_v2_aom:+0.796,aom_ridge:+0.000,tabpfn:+0.079",,ok,
BEER,Beer_OriginalExtract_60_YbaseSplit,moe-view-soft-K3-baseline,0,40,20,576,0.2187987810176508,0.9919629444545481,10,0.024686397053301334,,,ok,
BEER,Beer_OriginalExtract_60_YbaseSplit,moe-view-stacked-K3,0,40,20,576,0.2604711719542762,0.988609927150374,10,0.0425323229865171,,,ok,
BEER,Beer_OriginalExtract_60_YbaseSplit,moe-view-stacked-K5,0,40,20,576,0.18312972841141187,0.9943697863381692,10,0.05571903701638803,,,ok,
BEER,Beer_OriginalExtract_60_YbaseSplit,moe-view-multiK-3-5-7,0,40,20,576,0.1410949637934398,0.996657817210535,10,0.2536881410051137,,,ok,
BEER,Beer_OriginalExtract_60_YbaseSplit,moe-view-persample-K3,0,40,20,576,0.22083254462431226,0.9918128390686372,10,0.2897523089777678,,,ok,
ECOSIS_LeafTraits,Chla+b_spxyG_block2deg,moe-view-soft-K3-baseline,0,2925,3925,196,43.960128188153874,-11.213632919050205,10,0.1869301240076311,,,ok,
ECOSIS_LeafTraits,Chla+b_spxyG_block2deg,moe-view-stacked-K3,0,2925,3925,196,52.76479186689585,-16.59605948903779,10,0.9261862770072185,,,ok,
ECOSIS_LeafTraits,Chla+b_spxyG_block2deg,moe-view-stacked-K5,0,2925,3925,196,55.101859178136365,-18.189314815556504,10,1.0847816879977472,,,ok,
ECOSIS_LeafTraits,Chla+b_spxyG_block2deg,moe-view-multiK-3-5-7,0,2925,3925,196,43.40697276628347,-10.908195626484908,10,0.6066342939739116,,,ok,
ECOSIS_LeafTraits,Chla+b_spxyG_block2deg,moe-view-persample-K3,0,2925,3925,196,46.00739644771823,-12.377725409344064,10,25.403830990951974,,,ok,
GRAPEVINES,grapevine_chloride_556_KS,moe-view-soft-K3-baseline,0,388,167,1023,979.9396325730615,0.570269447547005,10,0.06407061504432932,,,ok,
GRAPEVINES,grapevine_chloride_556_KS,moe-view-stacked-K3,0,388,167,1023,979.3409087170658,0.5707944009733343,10,0.22097824898082763,,,ok,
GRAPEVINES,grapevine_chloride_556_KS,moe-view-stacked-K5,0,388,167,1023,1012.8133039783236,0.5409538160355094,10,0.2242425390286371,,,ok,
GRAPEVINES,grapevine_chloride_556_KS,moe-view-multiK-3-5-7,0,388,167,1023,990.1952676740576,0.5612276222581081,10,0.22491414000978693,,,ok,
GRAPEVINES,grapevine_chloride_556_KS,moe-view-persample-K3,0,388,167,1023,1019.7803051412905,0.5346166654760311,10,0.5495255520218052,,,ok,
MANURE21,All_manure_MgO_SPXY_strat_Manure_type,moe-view-soft-K3-baseline,0,343,147,1003,0.8602508323305482,0.8672947873798947,10,0.036614352953620255,,,ok,
MANURE21,All_manure_MgO_SPXY_strat_Manure_type,moe-view-stacked-K3,0,343,147,1003,0.8689249493028156,0.8646050975684513,10,0.09728518401971087,,,ok,
MANURE21,All_manure_MgO_SPXY_strat_Manure_type,moe-view-stacked-K5,0,343,147,1003,0.8687469454391382,0.8646605646077732,10,0.459583358024247,,,ok,
MANURE21,All_manure_MgO_SPXY_strat_Manure_type,moe-view-multiK-3-5-7,0,343,147,1003,0.8393013877298369,0.8736795507470458,10,0.3041158939595334,,,ok,
MANURE21,All_manure_MgO_SPXY_strat_Manure_type,moe-view-persample-K3,0,343,147,1003,1.00801876982,0.817788821476551,10,14.614736624003854,,,ok,
BEER,Beer_OriginalExtract_60_YbaseSplit,moe-view-multiK-wide-2-10,0,40,20,576,0.13770675787866468,0.9968164059770346,10,0.08409332402516156,,,ok,
BEER,Beer_OriginalExtract_60_YbaseSplit,moe-view-multiK-3-5-7-auto,0,40,20,576,0.1410949637934398,0.996657817210535,10,0.040305279078893363,,,ok,
BEER,Beer_OriginalExtract_60_YbaseSplit,mean-ensemble-3,0,40,20,576,0.19977501398616432,0.9932997730541777,10,0.7604357450036332,,,ok,
BEER,Beer_OriginalExtract_60_YbaseSplit,mean-ensemble-4,0,40,20,576,0.3716442499890082,0.9768120684678298,10,0.9404876189073548,,,ok,
ECOSIS_LeafTraits,Chla+b_spxyG_block2deg,moe-view-multiK-wide-2-10,0,2925,3925,196,60.87658529488685,-22.42219166896838,10,0.7806594029534608,,,ok,
ECOSIS_LeafTraits,Chla+b_spxyG_block2deg,moe-view-multiK-3-5-7-auto,0,2925,3925,196,66.92954275961682,-27.311486907131705,10,0.41574325400870293,,,ok,
ECOSIS_LeafTraits,Chla+b_spxyG_block2deg,mean-ensemble-3,0,2925,3925,196,40.391784921086035,-9.311291229089612,10,2.0861622920492664,,,ok,
ECOSIS_LeafTraits,Chla+b_spxyG_block2deg,mean-ensemble-4,0,2925,3925,196,39.839405172039825,-9.031194559189423,10,2.0602483710972592,,,ok,
GRAPEVINES,grapevine_chloride_556_KS,moe-view-multiK-wide-2-10,0,388,167,1023,975.9746027346496,0.5737399619729904,10,0.34203398996032774,,,ok,
GRAPEVINES,grapevine_chloride_556_KS,moe-view-multiK-3-5-7-auto,0,388,167,1023,971.9595727752396,0.5772399024137973,10,0.16591917199548334,,,ok,
GRAPEVINES,grapevine_chloride_556_KS,mean-ensemble-3,0,388,167,1023,951.7251734551626,0.5946588456637953,10,1.9145771579351276,,,ok,
GRAPEVINES,grapevine_chloride_556_KS,mean-ensemble-4,0,388,167,1023,948.6735891985221,0.5972540268923066,10,1.8647252899827436,,,ok,
MANURE21,All_manure_MgO_SPXY_strat_Manure_type,moe-view-multiK-wide-2-10,0,343,147,1003,0.7923464625301456,0.8874182420470705,10,0.30052737693767995,,,ok,
MANURE21,All_manure_MgO_SPXY_strat_Manure_type,moe-view-multiK-3-5-7-auto,0,343,147,1003,0.8193730394526212,0.879607032594067,10,0.146801098017022,,,ok,
MANURE21,All_manure_MgO_SPXY_strat_Manure_type,mean-ensemble-3,0,343,147,1003,0.7664056153340727,0.8946692599946493,10,1.6210805049631745,,,ok,
MANURE21,All_manure_MgO_SPXY_strat_Manure_type,mean-ensemble-4,0,343,147,1003,0.7644474711982697,0.895206806384743,10,1.6109262550016865,,,ok,
BEER,Beer_OriginalExtract_60_YbaseSplit,trimmed-mean-4,0,40,20,576,0.30902967501342665,0.9839672675974402,10,0.9792302959831432,,,ok,
BEER,Beer_OriginalExtract_60_YbaseSplit,nnls-stack-atoms,0,40,20,576,0.3339925761633612,0.9812724570895988,10,3.9780107979895547,,,ok,
BEER,Beer_OriginalExtract_60_YbaseSplit,nnls-stack-calibrated,0,40,20,576,0.2206757183067038,0.9918244633189824,10,3.4703004769980907,,,ok,
BEER,Beer_OriginalExtract_60_YbaseSplit,adaptive-super-learner,0,40,20,576,0.1410949637934398,0.996657817210535,10,3.2948310000356287,,,ok,
ECOSIS_LeafTraits,Chla+b_spxyG_block2deg,trimmed-mean-4,0,2925,3925,196,41.73849420455583,-10.010334590215162,10,2.3139266829239205,,,ok,
ECOSIS_LeafTraits,Chla+b_spxyG_block2deg,nnls-stack-atoms,0,2925,3925,196,40.599784120513746,-9.417761519534613,10,6.498435615096241,,,ok,
