variant,n,median,wins,fit_med,fit_total
pipeline-snv-asls-x-compact,57,1.0060813585800967,27,0.5748982000077376,103.27506679300859
MSC-AOM-compact-numpy,57,1.0083719184376125,28,0.3963563840006827,75.63164695697924
SNV-AOM-compact-oneSE-numpy,57,1.009774586961733,26,0.7691079809883377,128.44547744000738
pipeline-msc-asls-x-default,57,1.0125186923389378,26,5.67316977000155,836.1182252830185
pipeline-x-asls-x-default,57,1.0168789381613803,25,5.889942712994525,829.1559184000798
AOM-compact-press-numpy,57,1.0187253501488616,24,5.2630697459972,802.1888560070147
LocalSNV-w101-AOM-compact,57,1.0192948020092236,25,0.2984125490038423,54.07445190803264
pipeline-snv-asls-x-default,57,1.0245187094406256,25,6.147679464003886,844.9696817130025
LocalSNV-w51-AOM-compact,57,1.0250532175946365,25,0.3061849410005379,54.45037733396748
LocalSNV-w31-AOM-compact,57,1.071497298527573,19,0.3146388040040619,53.51315014399006
pipeline-snv-x-osc2-default,57,1.318001971595161,15,5.977542581007583,802.070972771995
SNV-OSC-AOM-default-numpy,57,1.318001971595161,15,8.17925217699667,1017.8558569389716
pipeline-snv-x-osc1-compact,57,1.318013877760156,15,0.2983441830001538,52.83249246599735
pipeline-snv-x-osc1-default,57,1.318013877760156,15,6.032362051002565,800.4669894340186
pipeline-snv-x-osc3-default,57,1.3180197446502218,15,5.8250541940069525,796.926372986054
pipeline-snv-x-osc2-compact,57,1.3180239806189462,15,0.3198024070006795,52.43176959398261
pipeline-snv-x-osc3-compact,57,1.3180445870586601,15,0.308947976998752,53.81855170297786
pipeline-snv-asls-osc1-compact,57,1.318725990889512,13,0.5710153739928501,98.41228603798663
pipeline-snv-asls-osc2-compact,57,1.3192669901086975,13,0.5187127839890309,101.23597970503033
pipeline-msc-x-osc1-default,57,1.3199031347354333,15,5.855297354995855,799.3872058020061
pipeline-msc-x-osc1-compact,57,1.319943431549933,15,0.3303413700050441,60.85807821001799
