task,model,mode,operator_index,operator,grid_index,hyperparameter,cv_rmse_mean
Beer_OriginalExtract_60_KS,PLS,folded,8,fd_d1,9,10,3.079639500268556
Beer_OriginalExtract_60_KS,PLS,folded,8,fd_d1,10,11,3.0796544158395585
Beer_OriginalExtract_60_KS,PLS,folded,8,fd_d1,11,12,3.0796391364465174
Beer_OriginalExtract_60_KS,PLS,folded,8,fd_d1,12,13,3.0796364361338804
Beer_OriginalExtract_60_KS,PLS,folded,8,fd_d1,13,14,3.079635949379818
Beer_OriginalExtract_60_KS,PLS,folded,8,fd_d1,14,15,3.0796361383709123
Beer_OriginalExtract_60_KS,PLS,materialized,0,identity,0,1,0.9794079175206694
Beer_OriginalExtract_60_KS,PLS,materialized,0,identity,1,2,0.6295797311387059
Beer_OriginalExtract_60_KS,PLS,materialized,0,identity,2,3,0.5923021891058742
Beer_OriginalExtract_60_KS,PLS,materialized,0,identity,3,4,0.5859280854480382
Beer_OriginalExtract_60_KS,PLS,materialized,0,identity,4,5,0.5827328445050293
Beer_OriginalExtract_60_KS,PLS,materialized,0,identity,5,6,0.5827206458802171
Beer_OriginalExtract_60_KS,PLS,materialized,0,identity,6,7,0.5831777048158744
Beer_OriginalExtract_60_KS,PLS,materialized,0,identity,7,8,0.5834072625192008
Beer_OriginalExtract_60_KS,PLS,materialized,0,identity,8,9,0.583492232235805
Beer_OriginalExtract_60_KS,PLS,materialized,0,identity,9,10,0.5835016561780575
Beer_OriginalExtract_60_KS,PLS,materialized,0,identity,10,11,0.5835180660638204
Beer_OriginalExtract_60_KS,PLS,materialized,0,identity,11,12,0.5835233775660186
Beer_OriginalExtract_60_KS,PLS,materialized,0,identity,12,13,0.5835258014323251
Beer_OriginalExtract_60_KS,PLS,materialized,0,identity,13,14,0.5835260096453483
Beer_OriginalExtract_60_KS,PLS,materialized,0,identity,14,15,0.583526086860295
Beer_OriginalExtract_60_KS,PLS,materialized,1,sg_smooth_w11_p2,0,1,0.9368433982482924
Beer_OriginalExtract_60_KS,PLS,materialized,1,sg_smooth_w11_p2,1,2,0.4990055442548134
Beer_OriginalExtract_60_KS,PLS,materialized,1,sg_smooth_w11_p2,2,3,0.33850709939976376
Beer_OriginalExtract_60_KS,PLS,materialized,1,sg_smooth_w11_p2,3,4,0.294366903223812
Beer_OriginalExtract_60_KS,PLS,materialized,1,sg_smooth_w11_p2,4,5,0.27849366179031226
Beer_OriginalExtract_60_KS,PLS,materialized,1,sg_smooth_w11_p2,5,6,0.28331565491944904
Beer_OriginalExtract_60_KS,PLS,materialized,1,sg_smooth_w11_p2,6,7,0.28722414137898256
Beer_OriginalExtract_60_KS,PLS,materialized,1,sg_smooth_w11_p2,7,8,0.2869248188871503
Beer_OriginalExtract_60_KS,PLS,materialized,1,sg_smooth_w11_p2,8,9,0.286818519272505
Beer_OriginalExtract_60_KS,PLS,materialized,1,sg_smooth_w11_p2,9,10,0.2866266773874748
Beer_OriginalExtract_60_KS,PLS,materialized,1,sg_smooth_w11_p2,10,11,0.2864267669250381
Beer_OriginalExtract_60_KS,PLS,materialized,1,sg_smooth_w11_p2,11,12,0.2865781549439381
Beer_OriginalExtract_60_KS,PLS,materialized,1,sg_smooth_w11_p2,12,13,0.2866052690116857
Beer_OriginalExtract_60_KS,PLS,materialized,1,sg_smooth_w11_p2,13,14,0.28649257771248177
Beer_OriginalExtract_60_KS,PLS,materialized,1,sg_smooth_w11_p2,14,15,0.2864889194517247
Beer_OriginalExtract_60_KS,PLS,materialized,2,sg_smooth_w21_p3,0,1,0.9366382763704262
Beer_OriginalExtract_60_KS,PLS,materialized,2,sg_smooth_w21_p3,1,2,0.474376289788298
Beer_OriginalExtract_60_KS,PLS,materialized,2,sg_smooth_w21_p3,2,3,0.28987328110231514
