aom_variant,rmsep_mean,rmsep_median,n_runs
nirs4all-POP-PLS-default,3609.1486577576784,7.8647756912691955,59
pipeline-emsc1-asls-osc1-compact,812.4361539063455,1.9876595505895864,57
pipeline-emsc1-asls-osc1-default,812.4118123871771,1.9876595505895864,57
pipeline-emsc1-asls-osc2-compact,812.535004325409,1.989565603416261,57
pipeline-emsc1-asls-osc2-default,812.686660526188,2.014366884317092,57
pipeline-emsc1-asls-osc3-compact,812.5372662493129,1.98968580633527,57
pipeline-emsc1-asls-osc3-default,812.6098250538522,1.9799806988000288,57
pipeline-emsc1-asls-x-compact,845.6341976580426,2.7711863028837267,57
pipeline-emsc1-asls-x-default,835.3045732680383,2.952485192153236,57
pipeline-emsc1-x-osc1-compact,809.050752375773,1.9743648119057624,57
pipeline-emsc1-x-osc1-default,808.1824768217704,1.977108649952119,57
pipeline-emsc1-x-osc2-compact,809.2184643901562,1.9741521609624972,57
pipeline-emsc1-x-osc2-default,808.179676380831,1.9792644904779788,57
pipeline-emsc1-x-osc3-compact,809.6085815202264,1.9735086754850992,57
pipeline-emsc1-x-osc3-default,808.7291300567845,1.973969280265367,57
pipeline-emsc1-x-x-compact,841.8470109852091,3.06655724214884,57
pipeline-emsc1-x-x-default,843.7568579037155,2.8269178671208746,57
pipeline-emsc2-asls-osc1-compact,766.4272154550168,2.384794705814046,57
pipeline-emsc2-asls-osc1-default,766.2952652454683,2.383722491906125,57
pipeline-emsc2-asls-osc2-compact,774.25099084551,2.382048517954963,57
pipeline-emsc2-asls-osc2-default,766.3008519168832,2.382479138360619,57
pipeline-emsc2-asls-osc3-compact,778.8022478236835,2.3803370952198297,57
pipeline-emsc2-asls-osc3-default,772.5538315644163,2.3826785589088004,57
pipeline-emsc2-asls-x-compact,808.3238138049793,3.6736084390877104,57
pipeline-emsc2-asls-x-default,1026.0038530019697,3.8808364640592505,57
pipeline-emsc2-x-osc1-compact,761.4616489385693,2.387062010122305,57
pipeline-emsc2-x-osc1-default,761.2953204266813,2.3882335284797165,57
pipeline-emsc2-x-osc2-compact,760.7760470806762,2.00369202521176,57
pipeline-emsc2-x-osc2-default,760.1588947858716,2.003455531263937,57
pipeline-emsc2-x-osc3-compact,761.0419931010099,2.0039560754863697,57
pipeline-emsc2-x-osc3-default,760.5335862137011,2.0040550664163685,57
pipeline-emsc2-x-x-compact,977.5343673578883,2.799804883789295,57
pipeline-emsc2-x-x-default,901.2295070187807,3.4985437829594077,57
pipeline-msc-asls-osc1-compact,780.3792991962335,1.6366301044920963,57
pipeline-msc-asls-osc1-default,779.8358878297003,1.6200158710353347,57
pipeline-msc-asls-osc2-compact,778.7307581339123,1.6202103407845154,57
pipeline-msc-asls-osc2-default,777.9733986464165,1.6201961448473658,57
pipeline-msc-asls-osc3-compact,781.7471911785074,1.768431832486539,57
pipeline-msc-asls-osc3-default,782.7083454475662,1.742519108976896,57
pipeline-msc-asls-x-compact,811.462496318792,0.7990642232549636,57
pipeline-msc-asls-x-default,802.7324297514664,0.8102227911775024,57
pipeline-msc-x-osc1-compact,763.9291728321919,1.837410468782328,57
pipeline-msc-x-osc1-default,763.9951693858645,1.837555980681916,57
pipeline-msc-x-osc2-compact,763.4765339623451,1.813609161227278,57
pipeline-msc-x-osc2-default,762.6424007368928,1.816289058498309,57
pipeline-msc-x-osc3-compact,763.6233687342193,1.8090790332193971,57
pipeline-msc-x-osc3-default,762.2068394922115,1.8078914766167429,57
pipeline-msc-x-x-compact,784.4401082456975,0.8781600977777931,57
pipeline-msc-x-x-default,770.6005163825538,0.9071242544527776,57
pipeline-snv-asls-osc1-compact,773.3865069787497,1.6382496502913495,57
pipeline-snv-asls-osc1-default,773.1945987338569,1.5336380503243314,57
pipeline-snv-asls-osc2-compact,771.2712539407677,1.5934625646802565,57
pipeline-snv-asls-osc2-default,771.0591480517882,1.524588404534727,57
pipeline-snv-asls-osc3-compact,772.1865905029223,1.768287685979573,57
pipeline-snv-asls-osc3-default,773.2925253516074,1.7413725651347196,57
pipeline-snv-asls-x-compact,802.3618217075847,0.8379029199730118,57
pipeline-snv-asls-x-default,806.2105334335337,0.7878046117665176,57
pipeline-snv-x-osc1-compact,767.8254449864322,1.8368096367222184,57
pipeline-snv-x-osc1-default,768.8795159096134,1.837240507726575,57
pipeline-snv-x-osc2-compact,767.1837906901827,1.813319645333306,57
pipeline-snv-x-osc2-default,768.4176294148782,1.8156368901157336,57
pipeline-snv-x-osc3-compact,767.6467555817117,1.808844312192288,57
pipeline-snv-x-osc3-default,766.6772824325626,1.8073999388321815,57
pipeline-snv-x-x-compact,791.3380241219483,1.0704203982608196,57
