dataset,variant,rmsep,ratio_meaningful
N_wOutlier,AOM-compact-cv5-numpy,0.3581342273487829,True
N_wOutlier,AOM-compact-simpls-covariance-numpy,0.3429315105853012,True
N_wOutlier,AOM-default-nipals-adjoint-numpy,0.3481335738414484,True
N_wOutlier,ASLS-AOM-compact-cv5-numpy,0.34945125315685416,True
N_wOutlier,PLS-standard-numpy,0.3511313039469375,True
N_wOutlier,POP-nipals-adjoint-numpy,1.392259042109866,True
N_wOutlier,POP-simpls-covariance-numpy,1.3782444349359597,True
N_wOutlier,nirs4all-AOM-PLS-default,0.3481335738414493,True
N_woOutlier,AOM-compact-cv3-numpy,0.3222596469497698,True
N_woOutlier,AOM-compact-cv5-numpy,0.3222596469497698,True
N_woOutlier,AOM-compact-simpls-covariance-numpy,0.34170905077633157,True
N_woOutlier,AOM-default-nipals-adjoint-numpy,0.3393929425576859,True
N_woOutlier,ASLS-AOM-compact-cv5-numpy,0.3134299730660615,True
N_woOutlier,PLS-standard-numpy,0.3537750581711365,True
N_woOutlier,POP-nipals-adjoint-numpy,1.3954994258931592,True
N_woOutlier,POP-simpls-covariance-numpy,1.3889388294857465,True
N_woOutlier,nirs4all-AOM-PLS-default,0.339392942557684,True
Rice_Amylose_313_YbasedSplit,AOM-compact-cv3-numpy,2.33754918967267,True
Rice_Amylose_313_YbasedSplit,AOM-compact-cv5-numpy,2.33754918967267,True
Rice_Amylose_313_YbasedSplit,AOM-compact-simpls-covariance-numpy,2.2707582738064915,True
Rice_Amylose_313_YbasedSplit,AOM-default-nipals-adjoint-numpy,1.8872509364111592,True
Rice_Amylose_313_YbasedSplit,ASLS-AOM-compact-cv5-numpy,2.280533261114454,True
Rice_Amylose_313_YbasedSplit,PLS-standard-numpy,3.2446926368545626,True
Rice_Amylose_313_YbasedSplit,POP-nipals-adjoint-numpy,5.323802664312729,True
Rice_Amylose_313_YbasedSplit,POP-simpls-covariance-numpy,5.323802664312729,True
Rice_Amylose_313_YbasedSplit,nirs4all-AOM-PLS-default,1.887250936411186,True
Tleaf_grp70_30,AOM-compact-cv3-numpy,,False
Tleaf_grp70_30,AOM-compact-cv5-numpy,,False
Tleaf_grp70_30,AOM-compact-simpls-covariance-numpy,,False
Tleaf_grp70_30,AOM-default-nipals-adjoint-numpy,,False
Tleaf_grp70_30,ASLS-AOM-compact-cv5-numpy,,False
Tleaf_grp70_30,PLS-standard-numpy,,False
Tleaf_grp70_30,POP-nipals-adjoint-numpy,,False
Tleaf_grp70_30,POP-simpls-covariance-numpy,,False
Tleaf_grp70_30,nirs4all-AOM-PLS-default,,False
brix_groupSampleID_stratDateVar_balRows,AOM-compact-cv3-numpy,4.332643529487287,True
brix_groupSampleID_stratDateVar_balRows,AOM-compact-cv5-numpy,4.330555124432894,True
brix_groupSampleID_stratDateVar_balRows,AOM-compact-simpls-covariance-numpy,4.360670385671454,True
brix_groupSampleID_stratDateVar_balRows,AOM-default-nipals-adjoint-numpy,4.162902650599793,True
brix_groupSampleID_stratDateVar_balRows,ASLS-AOM-compact-cv5-numpy,4.309267912681214,True
brix_groupSampleID_stratDateVar_balRows,PLS-standard-numpy,4.427724806691208,True
brix_groupSampleID_stratDateVar_balRows,POP-nipals-adjoint-numpy,5.394237410605338,True
brix_groupSampleID_stratDateVar_balRows,POP-simpls-covariance-numpy,5.394237410605338,True
brix_groupSampleID_stratDateVar_balRows,nirs4all-AOM-PLS-default,4.1629026505997855,True
